"rank_population","country_en","leader_name_en","local_file","source_url","license","license_url","author","credit","changes_made","download_date"
"31","Spain","Felipe VI of Spain","assets/final_portraits_3x4/031_ESP_Felipe-VI-of-Spain.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Daiga%20Mieri%C5%86a%20tiekas%20ar%20Sp%C4%81nijas%20karali%20-%2053814974005%20%28cropped%29.jpg","Public domain","","Foto: Nebojša Tejić/STA","Obisk španskega predsednika vlade v Sloveniji, Vlada Republike Slovenije from Ljubljana, Slovenia","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"32","Algeria","Abdelmadjid Tebboune","assets/final_portraits_3x4/032_DZA_Abdelmadjid-Tebboune.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Abdelmadjid%20Tebboune%20%282023%29%20%28cropped%29.jpg","CC BY 4.0","","State Duma of the Russian Federation","duma.gov.ru","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"33","Argentina","Javier Milei","assets/final_portraits_3x4/033_ARG_Javier-Milei.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Mattarella%20Milei%202024%20%28cropped%29.jpg","Attribution","","Quirinale","https://www.quirinale.it/elementi/107350","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"34","Iraq","Nizar Amedi","assets/final_portraits_3x4/034_IRQ_Nizar-Amedi.jpg","https://www.kurdistan24.net/en/story/907256/puk-candidate-nizar-amedi-elected-president-of-iraq-in-parliamentary-vote","News/social media source; verify reuse rights before external publication","","Kurdistan24 / Social Media","Nizar Amedi, Iraq president photo","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"35","Uganda","Yoweri Museveni","assets/final_portraits_3x4/035_UGA_Yoweri-Museveni.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Yoweri%20Museveni%20September%202015.jpg","Public domain","","U.S. Department of State","https://www.flickr.com/photos/statephotos/21149349393/","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"36","Afghanistan","Hibatullah Akhundzada","assets/final_portraits_3x4/036_AFG_Hibatullah-Akhundzada.jpg","https://commons.wikimedia.org/wiki/File:Hasan_Akhund.png","CC BY 3.0","","Uranus TV Kunduz","https://www.youtube.com/watch?v=S7WtOT6aZUU&amp;t=3s","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"37","Canada","Louise Arbour","public/ranking-corridor/2026-06-09-presidents-monthly-salaries/images/014_CAN_Louise-Arbour.jpg","https://www.gg.ca/en/governor-general/governor-general-louise-arbour","Government of Canada public web asset","https://www.gg.ca/en/important-notices","Office of the Secretary to the Governor General of Canada","Office of the Secretary to the Governor General of Canada","downloaded original media asset for Remotion; object-fit cover handles 3:4 frame","2026-06-09"
"38","Angola","João Lourenço","assets/final_portraits_3x4/038_AGO_João-Lourenço.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/President%20of%20Angola%20Jo%C3%A3o%20Louren%C3%A7o%20during%20a%20bilateral%20exchange%20at%20the%20Angola%20presidential%20palace%20in%20Luanda%2C%20Angola%2C%20September%2027%2C%202023%20-%20230927-D-PM193-1914%20%28cropped%29.jpg","Public domain","","U.S. Secretary of Defense","https://www.flickr.com/photos/68842444@N03/53218396344/","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"39","Uzbekistan","Shavkat Mirziyoyev","assets/final_portraits_3x4/039_UZB_Shavkat-Mirziyoyev.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Shavkat%20Mirziyoyev%20official%20portrait%20%28cropped%202%29.jpg","CC BY-SA 4.0","","Press Service of the President of the Republic of Uzbekistan","Source confirming the publication: Official Facebook page of the President Shavkat MirziyoyevSupporting source: Official biography page of the President","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"40","Poland","Karol Nawrocki","assets/final_portraits_3x4/040_POL_Karol-Nawrocki.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Karol%20Nawrocki%20%282025%29%20%28cropped%29.jpg","Public domain","","The White House","https://www.flickr.com/photos/202101414@N05/54765502564/","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"41","Morocco","Mohammed VI of Morocco","assets/final_portraits_3x4/041_MAR_Mohammed-VI-of-Morocco.jpg","https://commons.wikimedia.org/wiki/File:King_Mohammed_VI_%28cropped%29.jpg","CC BY 2.0","","UN Climate Change","Flickr","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"42","Saudi Arabia","Salman bin Abdulaziz Al Saud","assets/final_portraits_3x4/042_SAU_Salman-bin-Abdulaziz-Al-Saud.jpg","https://commons.wikimedia.org/wiki/File:%D8%A7%D9%84%D8%B5%D9%88%D8%B1%D8%A9_%D8%A7%D9%84%D8%B1%D8%B3%D9%85%D9%8A%D8%A9_%D9%84%D8%AE%D8%A7%D8%AF%D9%85_%D8%A7%D9%84%D8%AD%D8%B1%D9%85%D9%8A%D9%86_%D8%A7%D9%84%D8%B4%D8%B1%D9%8A%D9%81%D9%8A%D9%86_%D8%A7%D9%84%D9%85%D9%84%D9%83_%D8%B3%D9%84%D9%85%D8%A7%D9%86_%D8%A8%D9%86_%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B9%D8%B2%D9%8A%D8%B2_%D8%A2%D9%84_%D8%B3%D8%B9%D9%88%D8%AF.jpg","CC BY-SA 4.0","","Saudi Press Agency (SPA)","https://cc.spa.gov.sa/ar#27476","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"43","Malaysia","Ibrahim Iskandar of Johor","assets/final_portraits_3x4/043_MYS_Ibrahim-Iskandar-of-Johor.jpg","https://commons.wikimedia.org/wiki/File:King_Ibrahim_of_Malaysia_August_2025.jpg","CC BY 4.0","","Mikhail Tereshchenko","http://www.kremlin.ru/events/president/news/77721","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"44","Peru","José María Balcázar","assets/final_portraits_3x4/044_PER_José-María-Balcázar.jpg","https://commons.wikimedia.org/wiki/File:Jos%C3%A9_Mar%C3%ADa_Balc%C3%A1zar.jpg","CC BY 2.0","","Ministerio  de la Producción","https://www.flickr.com/photos/ministeriodelaproduccion/55115219825/","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"45","Mozambique","Daniel Chapo","assets/final_portraits_3x4/045_MOZ_Daniel-Chapo.jpg","https://commons.wikimedia.org/wiki/File:Daniel_Chapo_on_November_24%2C_2025_%28cropped%29.jpg","CC BY-SA 4.0","","Lula Oficial","https://www.flickr.com/photos/lulaoficial/54943384281/","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
